gols_mandante,gols_visitante,att_m,def_v,att_v,def_m,pred_gols_mandante,pred_gols_visitante
1,1,2.4,1.2,1.8,1.4,1.732288589638688,1.113683875945428
2,0,1.8,3.2,2.4,2.0,2.0738133199478175,1.3294552293381399
1,1,1.4,1.2,1.4,1.0,1.5379473220615085,0.9896631708393812
1,0,0.8,2.0,2.2,2.2,1.583422689111253,1.3238547303129145
2,0,2.6,1.2,2.0,2.2,1.7740097469940113,1.2826406753966733
1,1,1.6,1.2,1.0,1.4,1.574987883669843,0.9813425699914471
2,1,1.8,1.0,1.0,1.8,1.5728862122659037,1.036631771146972
1,1,1.0,1.8,1.0,2.2,1.5813097622623815,1.0950359862210743
1,1,1.6,1.8,1.8,1.6,1.6983383747146503,1.1446266946617105
1,1,1.4,1.0,1.0,1.4,1.4997739006767061,0.9813425699914471
3,0,1.6,2.4,0.6,1.0,1.8313494757227182,0.8720594959435266
3,0,1.6,0.4,1.2,2.0,1.424342860101864,1.0996684793738303
1,0,0.8,1.8,2.0,1.0,1.544120522727115,1.0881615566131775
1,2,0.8,2.0,2.4,1.2,1.583422689111253,1.1914229558332212
2,1,1.2,1.6,0.8,0.8,1.579199654913255,0.8757486985766706
0,2,2.0,2.2,1.0,1.6,1.8729538384601783,1.0086083910181172
2,1,2.0,1.2,1.6,0.8,1.6517667933762483,0.9938498897418983
2,1,1.0,1.0,2.6,1.6,1.4300600613127912,1.2989880728730312
1,3,2.2,0.8,1.2,2.4,1.6086188397012193,1.1616242057630561
4,1,1.8,0.8,1.6,1.8,1.5338455719852668,1.1398048093163187
1,0,1.0,1.8,1.6,1.4,1.5813097622623815,1.079012829816599
2,0,2.0,2.2,1.2,1.2,1.8729538384601783,0.9854940890220514
2,1,1.2,1.8,2.6,1.0,1.6193946828774957,1.1964632090800396
3,2,1.6,0.8,1.6,1.0,1.4977725951732745,1.0214632166775823
0,0,1.2,1.0,1.0,1.2,1.4645022213561352,0.9548138288888375
2,1,1.4,2.2,1.6,1.4,1.7438928738341077,1.079012829816599
6,2,1.6,1.6,1.2,1.6,1.6561838837890046,1.0410171882859462
2,1,1.2,1.2,1.8,1.2,1.5017778803001816,1.0835775378341967
3,1,0.8,2.8,0.4,2.0,1.750892723890785,0.9689926513223409
3,2,2.0,2.0,2.2,1.0,1.8264652136001363,1.1231265713770577
4,0,2.0,1.6,1.2,0.6,1.7369210083022089,0.907712276120325
2,2,0.8,1.6,1.4,0.4,1.5057938762045455,0.911552305997618
2,1,1.2,1.4,0.8,1.2,1.540002308545804,0.9250887021981548
3,1,1.0,1.4,1.4,1.6,1.5037845376168277,1.0744673512113494
1,2,1.8,1.4,1.8,1.2,1.6539738640521455,1.0835775378341967
2,1,1.2,1.2,1.4,1.8,1.5017778803001816,1.1043205700494807
1,1,1.6,1.4,1.6,1.6,1.6150757103296878,1.1089923411543336
1,2,0.6,1.2,1.8,1.6,1.3982938018858497,1.1446266946617105
0,0,0.6,0.8,1.0,2.0,1.3297411098714822,1.0654337585537748
2,2,2.2,0.8,1.4,1.6,1.6086188397012193,1.0744673512113494
3,0,0.8,1.8,2.2,2.2,1.544120522727115,1.3238547303129145
4,2,2.0,1.2,1.2,1.8,1.6517667933762483,1.0699410210121056
1,0,0.8,1.6,1.2,1.8,1.5057938762045455,1.0699410210121056
1,0,1.0,0.4,2.6,0.8,1.3261946517967764,1.1641190881959753
2,3,1.6,1.6,0.6,1.6,1.6561838837890046,0.9467862241558722
2,0,1.8,1.2,2.4,1.2,1.612920545537126,1.1914229558332212
0,2,1.2,1.4,1.8,1.8,1.540002308545804,1.1764292349298526
0,0,1.4,1.6,0.8,1.4,1.617233754827202,0.9507915543511488
1,2,2.0,1.8,0.4,2.0,1.7811304838319,0.9689926513223409
0,0,2.2,1.4,1.6,1.0,1.7346032525582447,1.0214632166775823
2,1,1.4,1.6,1.4,1.0,1.617233754827202,0.9896631708393812
1,2,1.4,1.8,1.4,1.6,1.6583968565273248,1.0744673512113494
0,1,1.6,0.8,0.8,1.4,1.4977725951732745,0.9507915543511488
1,2,2.2,1.6,2.0,0.4,1.7787537347512459,1.0022765375692493
1,0,0.8,1.0,1.4,1.2,1.396427911914124,1.017160173127816
1,2,1.0,2.6,1.4,0.8,1.7485563242223683,0.9629094980233589
2,2,1.6,1.0,2.2,1.0,1.5358950777610574,1.1231265713770577
1,0,2.0,1.8,1.0,1.4,1.7811304838319,0.9813425699914471
3,2,1.2,1.4,1.2,1.0,1.540002308545804,0.9588531194511033
2,1,0.8,2.0,1.6,1.0,1.583422689111253,1.0214632166775823
2,0,1.0,0.6,1.0,1.0,1.3599499980249428,0.9290022421480278
0,1,0.8,0.6,1.2,1.6,1.3279666969415571,1.0410171882859462
5,2,1.6,1.4,1.6,1.8,1.6150757103296878,1.1398048093163187
2,2,1.4,2.6,1.4,1.6,1.8337965025920047,1.0744673512113494
3,3,0.8,0.8,1.8,1.6,1.3617671466523178,1.1446266946617105
2,1,1.0,1.8,1.2,0.2,1.5813097622623815,0.8592990516537169
2,2,0.8,1.6,1.4,1.2,1.5057938762045455,1.017160173127816
1,4,1.4,1.6,0.6,1.6,1.617233754827202,0.9467862241558722
0,2,1.6,1.0,1.2,2.8,1.5358950777610574,1.2270705405532814
0,1,1.6,0.8,1.2,2.0,1.4977725951732745,1.0996684793738303
4,0,1.6,1.4,1.6,1.2,1.6150757103296878,1.0498437578901176
2,0,2.4,0.4,1.0,1.2,1.5665980099723844,0.9548138288888375
0,1,1.8,1.4,1.8,2.2,1.6539738640521455,1.242709690505976
1,1,1.8,1.0,1.8,2.0,1.5728862122659037,1.2091153834278427
3,2,1.0,1.0,1.0,0.6,1.4300600613127912,0.8794535081909113
1,0,2.2,2.2,2.0,1.2,1.918062836049288,1.1183952580320164
1,0,1.2,1.6,2.0,2.0,1.579199654913255,1.24796690963354
2,0,0.8,1.6,1.8,0.8,1.5057938762045455,1.0257844640307225
1,1,1.6,0.6,0.8,1.2,1.4605963514918463,0.9250887021981548
3,2,1.4,1.4,1.6,1.2,1.57709236330152,1.0498437578901176
1,4,1.2,2.0,1.8,0.8,1.6606127862128708,1.0257844640307225
1,0,1.4,0.8,1.4,1.0,1.4625479825511625,0.9896631708393812
2,0,1.4,3.0,1.4,2.0,1.9283349702124908,1.1350032367754355
3,2,1.4,1.8,1.0,2.2,1.6583968565273248,1.0950359862210743
0,1,1.4,0.8,0.8,1.8,1.4625479825511625,1.0043595000543022
1,1,1.4,1.2,1.2,1.2,1.5379473220615085,0.9854940890220514
3,1,2.2,1.0,2.2,1.0,1.649562667826072,1.1231265713770577
1,0,2.0,2.0,1.6,1.8,1.8264652136001363,1.1398048093163187
1,4,1.0,2.0,1.0,1.8,1.6215584983335367,1.036631771146972
3,1,1.8,1.2,1.8,1.6,1.612920545537126,1.1446266946617105
1,1,1.2,1.0,2.4,1.8,1.4645022213561352,1.29351592061445
0,0,1.0,1.6,1.6,0.8,1.542060040878017,0.9938498897418983
2,0,1.2,1.8,0.8,0.6,1.6193946828774957,0.8520744881572753
2,0,1.2,2.0,1.6,2.0,1.6606127862128708,1.1714733773439212
2,1,1.2,0.8,1.4,2.6,1.4281517822917658,1.2322615990651375
1,1,1.4,1.8,1.2,2.0,1.6583968565273248,1.0996684793738303
0,2,1.8,0.8,1.4,1.2,1.5338455719852668,1.017160173127816
1,0,1.8,0.8,1.2,1.6,1.5338455719852668,1.0410171882859462
2,1,1.0,1.2,1.0,1.2,1.4664590713912027,0.9548138288888375
3,1,1.4,1.6,1.6,1.8,1.617233754827202,1.1398048093163187
3,0,1.8,1.6,1.8,2.0,1.6960721038224367,1.2091153834278427
1,0,1.0,1.2,1.6,0.4,1.4664590713912027,0.9408424786227716
3,0,0.6,1.2,1.4,1.6,1.3982938018858497,1.0744673512113494
0,0,1.4,1.8,1.4,1.2,1.6583968565273248,1.017160173127816
0,2,1.2,1.6,1.4,1.6,1.579199654913255,1.0744673512113494
0,1,1.2,0.6,1.2,2.0,1.3927035982058482,1.0996684793738303
1,3,1.6,0.4,1.4,1.8,1.424342860101864,1.1043205700494807
0,1,1.4,1.4,1.4,1.8,1.57709236330152,1.1043205700494807
2,0,1.0,0.8,2.0,1.8,1.3945645117949474,1.2142304835753284
1,0,2.4,1.6,1.2,2.0,1.821593977946177,1.0996684793738303
1,0,1.4,1.6,1.2,1.2,1.617233754827202,0.9854940890220514
3,0,1.0,1.2,1.6,0.4,1.4664590713912027,0.9408424786227716
0,2,0.8,2.0,1.4,0.8,1.583422689111253,0.9629094980233589
4,2,1.0,1.4,2.0,0.8,1.5037845376168277,1.0587451661538752
2,2,1.4,1.4,1.2,2.0,1.57709236330152,1.0996684793738303
